date,time,hive,,solar radiation(J/m2)(1min mean)(5minn),wind speed(m/s)(1min mean)(5minn),temperature(1min mean)(5minn),precipitation(mm)(1min mean)(5minn),outdoor temperature,indoor temperature (top),indoor temperature (mid),heat up,heating level,weather,opening,,note,number of outport,number of bees,average number of bee,number of import,number of bring pollen,remove,,weight of pollen (1hr),individual efficiency,remove16
2020/10/4,07:00,B,,3.85,0.5,25.33,0,26.6,33.35,,1,mid,sunny,,,,308,7354,0.0419,392,16,,,0.31704,0.001029351,
2020/10/4,08:00,A,,22.8,0.88,27.72,0,28.6,32.1,,0,,sunny,,,,79,5235,0.0151,31,16,,,0.98652,0.012487595,
2020/10/4,08:00,B,,24.17,0.65,27.87,0,28.1,35.1,,1,mid,sunny,,,,176,7354,0.0239,180,8,,,0.2262,0.001285227,
2020/10/4,09:00,A,,33.1,0.58,30.05,0,30.6,33.6,,0,,sunny,,,,4,5235,0.0008,3,3,,,0.02844,0.00711,
2020/10/4,09:00,B,,34.5,0.75,29.93,0,29.1,35.6,,1,mid,sunny,,,,79,7354,0.0107,78,2,,,0.1974,0.002498734,
2020/10/4,10:00,A,,42.75,0.65,31.78,0,31.1,34.1,,0,,sunny,feeding,,,6,5235,0.0011,2,1,,,0.07516,0.012527273,
2020/10/4,10:00,B,,43.87,0.73,31.7,0,30.85,36.6,,1,mid,sunny,feeding,,,90,7354,0.0122,98,1,,,0.24676,0.002741818,
2020/10/4,12:00,A,,48.48,0.6,33.53,0,32.1,35.1,,0,,sunny,,,,19,5235,0.0036,29,10,,,0.55511,0.029216268,
2020/10/4,12:00,B,,48.35,0.72,33.72,0,32.6,37.6,,1,mid,sunny,,,,118,7354,0.016,192,8,,,0.23553,0.001995994,
2020/10/4,14:00,A,,37.12,0.95,33.57,0,33.1,35.6,,0,,sunny,,,,82,5235,0.0157,111,16,,,0.31407,0.003830155,
2020/10/4,14:00,B,,36.43,0.72,33.45,0,33.6,37.6,,1,mid,sunny,,,,124,7354,0.0169,177,6,,,0.07816,0.000630352,
2020/10/4,16:00,A,,13.2,1.5,30.63,0,31.6,35.6,,0,,sunny,,,,66,5235,0.0126,73,16,,,,,
2020/10/4,16:00,B,,11.35,1.42,30.28,0,31.6,36.6,,1,mid,sunny,battery,,,104,7354,0.0141,138,4,,,,,
2020/10/8,06:00,A,,0.15,0.48,21.23,0,23.6,27.1,33.6,1,high,overcast,battery,,,171,5235,0.0327,308,126,,,2.04468,0.011957193,
2020/10/8,06:00,B,,0.17,0.38,21.23,0,23.1,28.6,33.6,0,,overcast,,,,404,7354,0.0549,502,221,,,2.7408,0.006784158,
2020/10/8,07:00,A,,1.68,0.57,21.9,0,24.1,30.6,33.6,1,high,overcast,,,,45,5235,0.0086,56,14,,,0.48816,0.010848,
2020/10/8,07:00,B,,1.73,0.58,21.9,0,23.6,29.35,34.6,0,,overcast,,,,51,7354,0.0069,48,8,,,0.102,0.002,
2020/10/8,08:00,A,,4.67,0.63,22.4,0,24.6,31.6,33.6,1,high,overcast,,,,42,5235,0.008,53,15,,,0.85308,0.020311429,
2020/10/8,08:00,B,,4.75,0.6,22.4,0,24.1,30.1,34.6,0,,overcast,,,,21,7354,0.0029,24,1,,,0.01164,0.000554286,
2020/10/8,09:00,A,,6.23,0.5,23.62,0,26.1,32.1,33.6,1,high,overcast,,,,19,5235,0.0036,34,20,,,0.52068,0.027404211,
2020/10/8,09:00,B,,6.18,0.53,23.62,0,25.1,30.6,34.1,0,,overcast,,,,17,7354,0.0023,43,13,,,0.19584,0.01152,
2020/10/8,10:00,A,,20.1,0.8,25.33,0,27.1,33.6,33.6,1,high,overcast,battery,,,45,5235,0.0086,11,5,,,0.35695,0.007932121,
2020/10/8,10:00,B,,20.07,0.83,25.38,0,26.6,31.6,34.6,0,,overcast,,,,62,7354,0.0084,107,13,,,0.18431,0.002972727,
2020/10/8,12:00,A,,28.27,1.32,26.72,0,28.1,33.6,34.1,1,high,cloudy,,,,30,5235,0.0057,22,5,,,0.33262,0.011087273,
2020/10/8,12:00,B,,30.95,1.27,26.63,0,27.1,32.1,34.1,0,,cloudy,,,,43,7354,0.0058,35,7,,,0.20656,0.004803805,
2020/10/8,14:00,A,,12.42,0.9,26.08,0,27.1,34.1,34.1,1,high,cloudy,,,,7,5235,0.0013,61,32,,,0.2142,0.0306,
2020/10/8,14:00,B,,12.65,0.97,26.07,0,26.1,31.6,34.1,0,,cloudy,,,,57,7354,0.0078,68,13,,,0.20602,0.003614354,
2020/10/8,16:00,A,,4.42,1.02,26.1,0,27.1,34.1,35.1,1,high,cloudy,battery,,,102,5235,0.0195,66,17,,,,,
2020/10/8,16:00,B,,4.13,1.12,25.93,0,26.35,32.6,34.6,0,,cloudy,battery,,,62,7354,0.0084,63,11,,,,,
2020/10/15,06:00,A,,0.37,1.3,24.4,0,24.6,27.1,33.1,0,,cloudy,,,,362,5235,0.0691,428,196,,,3.03252,0.008377127,
2020/10/15,06:00,B,,0.17,1.37,24.37,0,24.6,27.1,29.6,1,high,cloudy,battery,,,375,7354,0.051,563,191,,,2.35548,0.00628128,
2020/10/15,07:00,A,,3.83,1.12,24.7,0,25.1,27.6,33.6,0,,cloudy,,,,105,5235,0.0201,71,36,,,0.62352,0.005938286,
2020/10/15,07:00,B,,3.83,1.12,24.7,0,25.1,30.1,31.6,1,high,cloudy,,,,50,7354,0.0068,116,26,,,0.43404,0.0086808,
2020/10/15,08:00,A,,18.7,1.73,26.33,0,26.6,28.6,34.1,0,,sunny,,,,23,5235,0.0044,17,10,,,0.36828,0.016012174,
2020/10/15,08:00,B,,18.7,1.73,26.33,0,26.6,33.1,34.6,1,high,sunny,,,,85,7354,0.0116,27,2,,,0.24636,0.002898353,
2020/10/15,09:00,A,,13.7,1.57,26.33,0,27.1,30.1,35.1,0,,rainy,,,,82,5235,0.0157,60,29,,,,,
2020/10/15,09:00,B,,13.8,1.63,26.37,0,26.6,33.1,35.6,1,high,rainy,,,,155,7354,0.0211,130,17,,,,,
2020/10/25,06:00,A,,0.07,0.63,22.02,0,,,,0,,overcast,,,,613,8443,0.0726,319,82,,,7.35024,0.011990604,
2020/10/25,06:00,B,,0.07,0.7,22,0,,,,1,high,overcast,battery,,,319,6573,0.0485,103,22,,,3.05484,0.009576301,
2020/10/25,07:00,A,,2.83,0.75,22.35,0,,,,0,,overcast,,,,446,8443,0.0528,434,148,,,4.72992,0.010605202,
2020/10/25,07:00,B,,2.83,0.75,22.35,0,,,,1,high,overcast,,,,417,6573,0.0634,272,99,,,2.5608,0.006141007,
2020/10/25,08:00,A,,3.87,0.98,22.7,0,,,,0,,cloudy,,,,239,8443,0.0283,330,104,,,1.11936,0.004683515,
2020/10/25,08:00,B,,3.83,1.02,22.7,0,,,,1,high,cloudy,,,,298,6573,0.0453,344,107,,,1.0674,0.003581879,
2020/10/25,09:00,A,,10.45,0.95,23,0,,,,0,,cloudy,,,,98,8443,0.0116,206,51,,,1.03284,0.010539184,
2020/10/25,09:00,B,,11.68,1.1,23.02,0,,,,1,high,cloudy,,,,239,6573,0.0364,331,72,,,0.69576,0.00291113,
2020/10/25,10:00,A,,39.68,1.13,25.42,0,,,,0,,cloudy,Inspection,,,252,8443,0.0298,371,82,,,1.42358,0.005649134,
2020/10/25,10:00,B,,39.4,0.97,25.43,0,,,,1,high,cloudy,Inspection,,,225,6573,0.0342,357,69,,,1.63642,0.00727297,
2020/10/25,12:00,A,,26.12,1.48,26.12,0,,,,0,,cloudy,,,,193,8443,0.0229,201,56,,,1.30735,0.006773811,
2020/10/25,12:00,B,,24.73,1.62,26.08,0,,,,1,high,cloudy,,,,183,6573,0.0278,207,55,,,0.4914,0.002685246,
2020/10/25,14:00,A,,34.82,1.18,26.5,0,,,,0,,cloudy,,,??,,8443,0,,,,,1.28509,,
2020/10/25,14:00,B,,34.82,1.18,26.5,0,,,,1,high,cloudy,,,,214,6573,0.0326,306,30,,,0.60038,0.002805523,
2020/10/25,16:00,A,,2.92,1.62,25.1,0,,,,0,,sunny,,,,188,8443,0.0223,343,61,,,,,
2020/10/25,16:00,B,,2.68,1.58,25.02,0,,,,1,high,sunny,,,,159,6573,0.0242,261,34,,,,,
2020/10/26,06:00,A,,0.1,0.72,22.7,0,,,,1,high,cloudy,,,,443,8287,0.0535,457,79,,,3.0312,0.006842438,
2020/10/26,06:00,B,,0.1,0.72,22.7,0,,,,0,,cloudy,,,,320,6625,0.0483,288,,,,4.14804,0.012962625,
2020/10/26,07:00,A,,3.68,0.85,23.13,0,,,,1,high,sunny,,,,297,8287,0.0358,303,,,,0.83844,0.00282303,
2020/10/26,07:00,B,,3.7,0.9,23.17,0,,,,0,,sunny,,,,213,6625,0.0322,310,,,,0.76524,0.003592676,
2020/10/26,08:00,A,,19.22,0.85,25.37,0,,,,1,high,sunny,,,,253,8287,0.0305,270,,,,0.71676,0.002833043,
2020/10/26,08:00,B,,19.38,0.83,25.42,0,,,,0,,sunny,,,,237,6625,0.0358,292,,,,0.45336,0.001912911,
2020/10/26,09:00,A,,23.25,1.15,26.95,0,,,,1,high,sunny,,,,188,8287,0.0227,231,,,,0.64248,0.003417447,
2020/10/26,09:00,B,,23.87,1.2,26.9,0,,,,0,,sunny,,,,192,6625,0.029,326,,,,0.38904,0.00202625,
2020/10/26,10:00,A,,38.13,1.75,27.25,0,,,,1,high,sunny,battery/feeding,,,150,8287,0.0181,193,,,,0.66404,0.004426909,
2020/10/26,10:00,B,,38.4,1.58,27.22,0,,,,0,,sunny,feeding,,,169,6625,0.0255,216,,,,0.414,0.002449704,
2020/10/26,12:00,A,,40.98,1.32,28.35,0,,,,1,high,sunny,,,,165,8287,0.0199,283,,,,0.41847,0.002536198,
2020/10/26,12:00,B,,41.78,1.38,28.38,0,,,,0,,sunny,,,,99,6625,0.0149,134,,,,0.21562,0.002177961,
2020/10/26,14:00,A,,34.45,1.77,27.8,0,,,,1,high,sunny,,,00:15~,64,8287,0.0077,287,,,,0.11291,0.001764205,
2020/10/26,14:00,B,,35.32,1.93,27.85,0,,,,0,,sunny,battery,,00:50~,46,6625,0.0069,145,,,,0.0468,0.001017391,
2020/10/26,16:00,A,,2.5,1.13,26.43,0,,,,1,high,sunny,,,,179,8287,0.0216,181,,,,,,
2020/10/26,16:00,B,,2.5,1.13,26.43,0,,,,0,,sunny,,,,433,6625,0.0654,,,,,,,
2020/10/27,06:00,A,,0.03,0.67,23.08,0,,,,0,,sunny,,,,506,8131,0.0622,462,,,,0.68628,0.001356285,
2020/10/27,06:00,B,,0.05,0.68,23.1,0,,,,1,high,sunny,battery,,,470,6677,0.0704,535,,,,0.49908,0.001061872,
2020/10/27,07:00,A,,2.23,0.97,23.77,0,,,,0,,sunny,,,,301,8131,0.037,332,,,,0.49488,0.00164412,
2020/10/27,07:00,B,,2.27,0.97,23.78,0,,,,1,high,sunny,,,,220,6677,0.033,270,,,,0.1314,0.000597273,
2020/10/27,08:00,A,,6.88,1.17,25.5,0,,,,0,,cloudy,,,,25,8131,0.0031,82,,,,0.2508,0.010032,
2020/10/27,08:00,B,,7.6,1.25,25.43,0,,,,1,high,cloudy,,,,90,6677,0.0135,99,,,,0.07308,0.000812,
2020/10/27,09:00,A,,6.32,1.05,25.22,0,,,,0,,cloudy,,,,33,8131,0.0041,22,,,,0.17352,0.005258182,
2020/10/27,09:00,B,,6.82,0.93,25.2,0,,,,1,high,cloudy,,,,73,6677,0.0109,79,,,,0.01008,0.000138082,
2020/10/27,10:00,A,,8.2,1.22,25.87,0,,,,0,,overcast,,,,61,8131,0.0075,76,,,,0.36796,0.006032191,
2020/10/27,10:00,B,,8.38,1.53,25.82,0,,,,1,high,overcast,,,,64,6677,0.0096,61,,,,0.05749,0.000898295,
2020/10/27,12:00,A,,37.37,1.58,27.75,0,,,,0,,cloudy,,,,184,8131,0.0226,221,,,,0.32995,0.001793182,
2020/10/27,12:00,B,,37.37,1.58,27.75,0,,,,1,high,cloudy,,,,118,6677,0.0177,130,,,,0.04511,0.00038228,
2020/10/27,14:00,A,,19.1,1.17,27.42,0,,,,0,,cloudy,,,,140,8131,0.0172,100,,,,0.2112,0.001508571,
2020/10/27,14:00,B,,15.28,1.3,27.33,0,,,,1,high,cloudy,,,,142,6677,0.0213,,,,,0.04964,0.000349552,
2020/10/27,16:00,A,,3.5,1.42,26,0,,,,0,,overcast,battery,,,190,8131,0.0234,145,,,,,,
2020/10/27,16:00,B,,3.35,1.28,26,0,,,,1,high,overcast,battery,,,185,6677,0.0277,147,,,,,,
2020/10/28,06:00,A,,0.08,0.63,24.3,0,,,,1,high,cloudy,battery,,,733,7976,0.0919,604,,,,1.03428,0.001411023,
2020/10/28,06:00,B,,0.08,0.63,24.3,0,,,,0,,cloudy,,,,562,6728,0.0835,535,,,,0.46392,0.00082548,
2020/10/28,07:00,A,,4.4,1.08,24.6,0,,,,1,high,sunny,,,,300,7976,0.0376,382,,,,0.72852,0.0024284,
2020/10/28,07:00,B,,4.58,1.1,24.63,0,,,,0,,sunny,,,,152,6728,0.0226,162,,,,0.18216,0.001198421,
2020/10/28,08:00,A,,19.17,0.82,26.48,0,,,,1,high,sunny,,,,174,7976,0.0218,221,,,,0.3042,0.001748276,
2020/10/28,08:00,B,,19.17,0.82,26.48,0,,,,0,,sunny,,,,35,6728,0.0052,86,,,,0.03324,0.000949714,
2020/10/28,09:00,A,,25.87,1.2,26.97,0,,,,1,high,sunny,,,,63,7976,0.0079,75,,,,0.26112,0.004144762,
2020/10/28,09:00,B,,24.18,1.13,26.98,0,,,,0,,sunny,,,,46,6728,0.0068,32,,,,0.00372,8.09E-05,
2020/10/28,10:00,A,,14.98,1.52,26.43,0,,,,1,high,cloudy,ibutton/battery,,,77,7976,0.0097,71,,,,0.40358,0.005241322,
2020/10/28,10:00,B,,14.98,1.52,26.43,0,,,,0,,cloudy,ibutton/feeding,,,23,6728,0.0034,47,,,,0.02449,0.001064822,
2020/10/28,12:00,A,,24.17,1.42,27.2,0,28.6,36.6,,1,high,cloudy,,,,109,7976,0.0137,105,,,,0.22991,0.002109258,
2020/10/28,12:00,B,,22.68,1.48,27.2,0,29.1,33.1,,0,,cloudy,,,00:20~,62,6728,0.0092,85,,,,0.06655,0.001073314,
2020/10/28,14:00,A,,12.48,1.07,27.02,0,28.6,36.1,,1,high,cloudy,,,,122,7976,0.0153,124,,,,0.08684,0.000711773,
2020/10/28,14:00,B,,12.38,1.15,27.03,0,28.6,34.1,,0,,cloudy,,,??,,6728,0,,,,,0.16445,,
2020/10/28,16:00,A,,3.67,0.92,25.6,0,26.6,35.6,,1,high,cloudy,battery,,,190,7976,0.0238,157,,,,,,
2020/10/28,16:00,B,,3.67,0.92,25.6,0,27.1,34.6,,0,,cloudy,battery,,,88,6728,0.0131,96,,,,,,
2020/10/29,06:00,A,,0.03,1.32,23.9,0,24.6,29.1,,0,,overcast,,,,,,,,,,,1.19268,,
2020/10/29,06:00,B,,0.05,1.33,23.9,0,24.6,29.1,,1,high,overcast,battery,,,,,,,,,,0.45084,,
2020/10/29,07:00,A,,1.7,1.03,23.82,0,25.1,30.1,,0,,overcast,,,,,,,,,,,0.69588,,
2020/10/29,07:00,B,,1.7,1.03,23.82,0,25.6,32.1,,1,high,overcast,,,,,,,,,,,0.1254,,
2020/10/29,08:00,A,,5.5,0.83,24.1,0,25.6,30.6,,0,,overcast,,,,,,,,,,,0.594,,
2020/10/29,08:00,B,,5.33,0.87,24.12,0,26.1,33.1,,1,high,overcast,,,,,,,,,,,0.07008,,
2020/10/29,09:00,A,,9.02,1.02,24.83,0,27.1,32.1,,0,,overcast,,,,,,,,,,,0.429,,
2020/10/29,09:00,B,,9.02,1.02,24.83,0,27.6,34.1,,1,high,overcast,,,,,,,,,,,0.03384,,
2020/10/29,10:00,A,,12.82,1.42,25.03,0,27.6,32.6,,0,,overcast,,,,,,,,,,,0.54889,,
2020/10/29,10:00,B,,13.12,1.45,25.02,0,28.1,35.1,,1,high,overcast,battery,,,,,,85,,,,0.01173,,
2020/10/29,12:00,A,,13.95,1.2,24.63,0,26.1,31.6,,0,,overcast,,,,,,,,,,,0.43707,,
2020/10/29,12:00,B,,13.48,1.27,24.67,0,26.6,33.6,,1,high,overcast,,,,,,,,,,,0.0306,,
2020/10/29,14:00,A,,12.93,1.53,25.25,0,27.1,32.1,,0,,overcast,,,,,,,,,,,0.13964,,
2020/10/29,14:00,B,,13.48,1.57,25.25,0,27.1,34.6,,1,high,overcast,,,,,,,,,,,0.06507,,
2020/10/29,16:00,A,,1.85,1.28,23.8,0,25.1,31.6,,0,,overcast,,,,,,,,,,,,,
2020/10/29,16:00,B,,1.85,1.28,23.8,0,25.6,34.1,,1,high,overcast,battery,,,,,,,,,,,,
2020/10/30,06:00,A,,0.1,0.65,22.4,0,23.1,27.6,,1,high,rainy,battery/ibutton,,,,,,,,,,1.873,,
2020/10/30,06:00,B,,0.08,0.7,22.4,0,23.1,27.1,,0,,rainy,ibutton,,,,,,,,,,0.922,,
2020/10/30,07:00,A,,0.35,0.37,22.28,0,23.1,34.6,34.6,1,high,overcast,,,,,,,,,,,1.33128,,
2020/10/30,07:00,B,,0.43,0.35,22.27,0,23.6,31.6,35.1,0,,overcast,,,,,,,,,,,0.336,,
2020/10/30,08:00,A,,3.37,0.73,22.73,0,24.1,36.1,35.1,1,high,overcast,,,,,,,,,,,0.57048,,
2020/10/30,08:00,B,,3.32,0.77,22.75,0,24.1,31.6,34.6,0,,overcast,,,,,,,,,,,0.08748,,
2020/10/30,09:00,A,,5.38,0.53,22.9,0,24.1,37.85,35.1,1,high,cloudy,,,,,,,,,,,0.25392,,
2020/10/30,09:00,B,,5.38,0.53,22.9,0,24.6,29.6,35.1,0,,cloudy,,,,,,,,,,,0.12972,,
2020/10/30,10:00,A,,38.82,1.33,25.42,0,26.1,38.1,35.6,1,high,cloudy,battery/Inspection,,,,,,,,,,0.13222,,
2020/10/30,10:00,B,,38.82,1.33,25.42,0,26.1,29.6,35.1,0,,cloudy,Inspection,,,,,,,,,,0.03676,,
2020/10/30,12:00,A,,6.9,0.97,22.82,0,24.1,31.6,35.6,1,high,overcast,,,,,,,,,,,0.49925,,
2020/10/30,12:00,B,,6.9,0.97,22.82,0,24.6,32.1,34.6,0,,overcast,,,,,,,,,,,0.11815,,
2020/10/30,14:00,A,,5.07,0.97,22.3,0,24.1,30.6,35.6,1,high,overcast,,,,,,,,,,,0.26515,,
2020/10/30,14:00,B,,5.08,0.95,22.3,0,23.6,30.6,34.1,0,,overcast,,,,,,,,,,,0.32984,,
2020/10/30,16:00,A,,2.22,0.67,22.5,0,23.6,31.1,35.35,1,high,overcast,battery,,,,,,,,,,,,
2020/10/30,16:00,B,,2.22,0.67,22.5,0,23.6,30.1,34.6,0,,overcast,battery,,,,,,,,,,,,
2020/10/31,06:00,A,,0.3,1,19.3,0,19.6,22.1,33.1,0,,sunny,,,,291,7843,0.0371,429,,,,1.35195,0.004645876,
2020/10/31,06:00,B,,0.3,1,19.3,0,19.6,25.1,33.1,1,high,sunny,battery,,,205,6992,0.0293,305,,,,1.36545,0.006660732,
2020/10/31,07:00,A,,2.6,0.9,19.9,0,20.1,23.1,34.1,0,,sunny,,,,132,7843,0.0168,202,,,,1.131,0.008568182,
2020/10/31,07:00,B,,2.65,0.97,19.9,0,20.6,28.6,34.1,1,high,sunny,,,,88,6992,0.0126,109,,,,0.7872,0.008945455,
2020/10/31,08:00,A,,23.28,1.18,22.15,0,21.6,24.1,34.6,0,,sunny,,,,49,7843,0.0062,64,,,,0.44952,0.009173878,
2020/10/31,08:00,B,,23.28,1.18,22.15,0,22.6,29.1,34.6,1,high,sunny,,,,74,6992,0.0106,113,,,,0.3528,0.004767568,
2020/10/31,09:00,A,,15.7,1.52,22.75,0,23.6,26.1,34.6,0,,cloudy,,,,43,7843,0.0055,58,,,,0.34872,0.008109767,
2020/10/31,09:00,B,,15.7,1.52,22.75,0,23.6,30.1,35.1,1,high,cloudy,,,,73,6992,0.0104,117,,,,0.21996,0.003013151,
2020/10/31,10:00,A,,36.07,1.45,24.9,0,25.6,28.1,35.1,0,,sunny,,,,54,7843,0.0069,97,,,,0.45813,0.008483838,
2020/10/31,10:00,B,,37.07,1.35,24.93,0,25.6,31.1,35.1,1,high,sunny,battery,,,111,6992,0.0159,108,,,,0.14842,0.001337101,
2020/10/31,12:00,A,,45.67,2.17,25.73,0,26.6,31.1,35.6,0,,sunny,,,,231,7843,0.0295,258,,,,0.18415,0.000797166,
2020/10/31,12:00,B,,45.98,2.18,25.7,0,26.6,32.6,35.6,1,high,sunny,,,,229,6992,0.0328,,,,,0.21633,0.000944661,
2020/10/31,14:00,A,,33.12,1.37,26.25,0,27.1,32.6,35.6,0,,sunny,,,??,,7843,0,,,,,0.23045,,
2020/10/31,14:00,B,,32.93,1.33,26.2,0,27.6,33.6,35.6,1,high,sunny,,,,122,6992,0.0174,,,,,0.07936,0.000650522,
2020/10/31,16:00,A,,3.03,1.23,24.9,0,25.35,32.1,35.6,0,,sunny,battery,,,87,7843,0.0111,81,,,,,,
2020/10/31,16:00,B,,2.98,1.18,24.85,0,26.1,32.1,35.1,1,high,sunny,battery,,,63,6992,0.009,79,,,,,,
2020/11/1,06:00,A,,0.32,0.77,22.68,0,22.6,25.6,34.6,1,high,sunny,,,,563,8022,0.0702,533,,,,4.09905,0.007280728,
2020/11/1,06:00,B,,0.32,0.77,22.68,0,22.6,25.6,32.6,0,,sunny,,,,439,7153,0.0614,476,,,,0.78525,0.001788724,
2020/11/1,07:00,A,,3.13,1,23.15,0,23.35,29.1,35.6,1,high,sunny,,,,189,8022,0.0236,297,,,,0.72012,0.003810159,
2020/11/1,07:00,B,,3.13,1,23.15,0,23.6,25.6,34.6,0,,sunny,,,,66,7153,0.0092,165,,,,0.09684,0.001467273,
2020/11/1,08:00,A,,17.72,1.4,24.72,0,24.6,31.6,35.6,1,high,sunny,,,,89,8022,0.0111,83,,,,0.26532,0.002981124,
2020/11/1,08:00,B,,17.95,1.4,24.73,0,25.1,26.1,34.1,0,,sunny,,,,72,7153,0.0101,95,,,,0.08208,0.00114,
2020/11/1,09:00,A,,5.68,1.1,25.07,0,26.1,33.35,36.1,1,high,overcast,,,,39,8022,0.0049,40,,,,0.1416,0.003630769,
2020/11/1,09:00,B,,5.4,1.23,25.05,0,26.1,27.1,34.6,0,,overcast,,,,30,7153,0.0042,56,,,,0.03804,0.001268,
2020/11/1,10:00,A,,23.47,1.55,26.02,0,26.6,34.1,36.1,1,high,cloudy,,,,97,8022,0.0121,58,,,,0.59504,0.006134396,
2020/11/1,10:00,B,,20.7,1.68,26,0,26.6,28.6,34.1,0,,cloudy,,,,107,7153,0.015,78,,,,0.09289,0.000868139,
2020/11/1,12:00,A,,43.78,1.43,28.25,0,29.6,35.6,36.6,1,high,sunny,,,,177,8022,0.0221,,,,,0.21333,0.001205239,
2020/11/1,12:00,B,,43.9,1.25,28.28,0,28.85,32.35,35.1,0,,sunny,,,,159,7153,0.0222,185,,,,0.17225,0.001083362,
2020/11/1,14:00,A,,17.43,1.92,27.88,0,29.1,36.1,36.6,1,high,cloudy,,,,133,8022,0.0166,,,,,0.11765,0.000884621,
2020/11/1,14:00,B,,17.3,1.85,27.8,0,28.6,33.6,35.6,0,,cloudy,,,???,,7153,0,,,,,0.03038,,
2020/11/1,16:00,A,,3.3,1.05,26.22,0,27.6,35.1,36.1,1,high,overcast,ibutton/battery,,,195,8022,0.0243,155,,,,,,
2020/11/1,16:00,B,,3.22,1.03,26.2,0,27.6,32.6,34.6,0,,overcast,ibutton,,,128,7153,0.0179,132,,,,,,
2020/11/4,06:00,A,,0,0.97,19.6,0,20.6,26.1,34.1,1,high,rainy,battery,,,938,8560,0.1096,,,,,3.1623,0.003371322,
2020/11/4,06:00,B,,0,1.02,19.6,0,20.6,24.6,32.1,0,,rainy,,,,752,7634,0.0985,,,,,0.75885,0.001009109,
2020/11/4,07:00,A,,1.87,0.87,20.03,0,21.1,29.6,34.6,1,high,overcast,,,,742,8560,0.0867,658,,,,2.79096,0.003761402,
2020/11/4,07:00,B,,1.9,0.73,20.05,0,21.1,27.6,32.6,0,,overcast,,,,626,7634,0.082,,,,,0.4476,0.000715016,
2020/11/4,08:00,A,,6.83,1.02,20.6,0,22.6,31.1,34.1,1,high,overcast,,,,390,8560,0.0456,313,,,,2.21832,0.005688,
2020/11/4,08:00,B,,7.13,0.98,20.6,0,22.1,29.1,33.6,0,,overcast,,,,395,7634,0.0517,,,,,0.38736,0.000980658,
2020/11/4,09:00,A,,27.78,0.93,21.95,0,23.6,32.1,34.1,1,high,cloudy,,,,311,8560,0.0363,283,,,,2.58516,0.008312412,
2020/11/4,09:00,B,,27.5,0.88,22.03,0,23.85,29.6,34.1,0,,cloudy,,,00:10~,260,7634,0.0341,,,,,0.25152,0.000967385,
2020/11/4,10:00,A,,13.55,1.35,22.8,0,24.1,32.1,33.6,1,high,rainy,battery,,,91,8560,0.0106,295,,,,1.07476,0.011810589,
2020/11/4,10:00,B,,12.02,1.55,22.68,0,24.1,29.1,33.1,0,,rainy,,,,168,7634,0.022,335,,,,0.11924,0.00070974,
2020/11/4,12:00,A,,34.55,1.85,23.72,0,25.1,33.1,34.1,1,high,cloudy,,,,449,8560,0.0525,372,,,,1.09058,0.002428913,
2020/11/4,12:00,B,,34.55,1.85,23.72,0,25.1,30.6,33.6,0,,cloudy,,,,377,7634,0.0494,,,,,0.1872,0.000496552,
2020/11/4,14:00,A,,15.9,1.38,23.18,0,25.1,33.6,35.1,1,high,cloudy,,,,208,8560,0.0243,,,,,0.36535,0.001756469,
2020/11/4,14:00,B,,16.22,1.42,23.2,0,25.1,31.1,33.6,0,,cloudy,,,,213,7634,0.0279,,,,,0.22342,0.001048912,
2020/11/4,16:00,A,,4.43,1.08,22.27,0,23.1,33.1,34.6,1,high,cloudy,,,,368,8560,0.043,308,,,,,,
2020/11/4,16:00,B,,4.43,1.08,22.27,0,23.1,30.1,33.1,0,,cloudy,,,,351,7634,0.046,397,,,,,,
2020/11/5,06:00,A,,0.18,0.78,21,0,22.1,26.1,34.1,0,,cloudy,,,,848,8739,0.097,,,,,5.31765,0.006270814,
2020/11/5,06:00,B,,0.18,0.78,21,0,21.6,26.6,33.6,1,high,cloudy,battery,,,704,7794,0.0903,,,,,1.42815,0.002028622,
2020/11/5,07:00,A,,3.37,0.83,21.32,0,22.1,27.6,34.1,0,,cloudy,,,,465,8739,0.0532,,,,,3.31944,0.007138581,
2020/11/5,07:00,B,,3.37,0.83,21.32,0,22.1,31.1,34.6,1,high,cloudy,,,,437,7794,0.0561,,,,,0.64848,0.001483936,
2020/11/5,08:00,A,,6.33,1.02,22.47,0,23.1,28.6,34.1,0,,cloudy,,,,314,8739,0.0359,306,,,,2.02968,0.006463949,
2020/11/5,08:00,B,,6.48,0.95,22.45,0,23.35,32.6,34.6,1,high,cloudy,,,,270,7794,0.0346,,,,,0.32568,0.001206222,
2020/11/5,09:00,A,,10.28,0.93,23.37,0,24.6,30.6,34.6,0,,overcast,,,,152,8739,0.0174,216,,,,1.39548,0.009180789,
2020/11/5,09:00,B,,10.82,0.93,23.38,0,24.6,33.6,34.6,1,high,overcast,,,00:03~,160,7794,0.0205,227,,,,0.19524,0.00122025,
2020/11/5,10:00,A,,8.92,1.2,23.6,0,25.1,31.1,34.1,0,,rainy,,,,130,8739,0.0149,199,,,,0.83749,0.006442238,
2020/11/5,10:00,B,,8.48,1.13,23.57,0,25.35,34.1,35.1,1,high,rainy,,,00:03~,98,7794,0.0126,160,,,,0.14362,0.001465492,
2020/11/5,12:00,A,,20.17,1.17,24.47,0,27.1,31.6,34.6,0,,overcast,,,,444,8739,0.0508,,,,,1.28602,0.002896437,
