date,time,hive,,solar radiation(J/m2)(1min mean)(5minn),wind speed(m/s)(1min mean)(5minn),temperature(1min mean)(5minn),precipitation(mm)(1min mean)(5minn),outdoor temperature,indoor temperature (top),indoor temperature (mid),heat up,heating level,weather,opening,,note,number of outport,number of bees,average number of bee,number of import,number of bring pollen,remove,,weight of pollen (1hr),individual efficiency,remove16
2020/10/1,16:00,A,,7.85,1.13,27.03,0,28.1,34.6,,1,mid,sunny,,,,65,5275,0.0123,156,,,,,,
2020/10/1,16:00,B,,7.85,1.13,27.03,0,27.6,33.1,,0,,sunny,,,00:25~,263,7265,0.0362,245,,,,,,
2020/10/2,06:00,A,,0.12,0.37,23.1,0,24.1,29.1,,0,,sunny,,,,210,5235,0.0401,148,,,,2.16036,0.010287429,
2020/10/2,06:00,B,,0.12,0.37,23.1,0,24.1,29.1,,1,mid,sunny,battery,,,493,7354,0.067,174,,,,2.12304,0.004306369,
2020/10/2,07:00,A,,3.95,0.9,24.52,0,25.1,30.6,,0,,sunny,,,,64,5235,0.0122,130,,,,0.69852,0.010914375,
2020/10/2,07:00,B,,4.05,0.9,24.53,0,25.1,32.1,,1,mid,sunny,,,00:14~,187,7354,0.0254,273,,,,0.22752,0.001216684,
2020/10/2,08:00,A,,22.28,1.08,26.38,0,27.1,31.6,,0,,sunny,,,,78,5235,0.0149,72,,,,0.75108,0.009629231,
2020/10/2,08:00,B,,22.75,1.23,26.43,0,26.1,32.6,,1,mid,sunny,,,,30,7354,0.0041,60,,,,0.11124,0.003708,
2020/10/2,09:00,A,,33.4,0.97,27.98,0,28.6,32.1,,0,,sunny,,,,64,5235,0.0122,57,,,,0.64392,0.01006125,
2020/10/2,09:00,B,,33.55,0.88,28.05,0,27.1,33.6,,1,mid,sunny,,,,33,7354,0.0045,34,,,,0.13176,0.003992727,
2020/10/2,10:00,A,,43.15,1.1,29.3,0,29.6,32.6,,0,,sunny,,,,71,5235,0.0136,79,,,,0.63573,0.008953905,
2020/10/2,10:00,B,,43.28,1.1,29.33,0,28.6,34.1,,1,mid,sunny,,,,60,7354,0.0082,55,,,,0.18458,0.003076364,
2020/10/2,12:00,A,,50.3,1.73,30.28,0,29.6,32.1,,0,,sunny,,,,66,5235,0.0126,100,,,,0.28615,0.004335537,
2020/10/2,12:00,B,,50.27,1.8,30.15,0,29.6,34.6,,1,mid,sunny,,,,71,7354,0.0097,80,,,,0.14787,0.002082714,
2020/10/2,14:00,A,,39.42,1.12,30.18,0,29.6,33.6,,0,,sunny,,,,82,5235,0.0157,92,,,,0.32891,0.004011086,
2020/10/2,14:00,B,,39.08,1.03,30.22,0,30.1,36.1,,1,mid,sunny,,,,103,7354,0.014,129,,,,0.05727,0.000556046,
2020/10/2,16:00,A,,16.42,1.37,28.55,0,29.1,33.1,,0,,sunny,battery,,,58,5235,0.0111,62,,,,,,
2020/10/2,16:00,B,,16.42,1.37,28.55,0,29.6,36.1,,1,mid,sunny,battery,,,77,7354,0.0105,83,,,,,,
2020/10/3,06:00,A,,0.23,0.2,21.9,0,23.6,28.6,,1,mid,sunny,battery,,,387,5235,0.0739,333,62,,,6.93888,0.017929922,
2020/10/3,06:00,B,,0.45,0.2,21.98,0,24.1,30.1,,0,,sunny,,,,439,7354,0.0597,352,24,,,3.60804,0.00821877,
2020/10/3,07:00,A,,2.43,0.33,23.83,0,24.35,31.6,,1,mid,sunny,,,,171,5235,0.0327,186,28,,,2.21508,0.012953684,
2020/10/3,07:00,B,,2.57,0.33,23.95,0,25.1,31.1,,0,,sunny,,,,206,7354,0.028,403,4,,,0.17772,0.000862718,
