date,time,temperature,hive,heat up
2020/9/22,2020/9/22 11:22,33.6,B,0
2020/9/22,2020/9/22 11:27,33.6,B,0
2020/9/22,2020/9/22 11:32,33.6,B,0
2020/9/22,2020/9/22 11:37,33.6,B,0
2020/9/22,2020/9/22 11:42,34.1,B,0
2020/9/22,2020/9/22 11:47,34.1,B,0
2020/9/22,2020/9/22 11:52,34.1,B,0
2020/9/22,2020/9/22 11:57,34.1,B,0
2020/9/22,2020/9/22 12:02,34.1,B,0
2020/9/22,2020/9/22 12:07,34.1,B,0
2020/9/22,2020/9/22 12:12,34.1,B,0
2020/9/22,2020/9/22 12:17,34.1,B,0
2020/9/22,2020/9/22 12:22,34.1,B,0
2020/9/22,2020/9/22 12:27,34.1,B,0
2020/9/22,2020/9/22 12:32,34.1,B,0
2020/9/22,2020/9/22 12:37,34.1,B,0
2020/9/22,2020/9/22 12:42,34.1,B,0
2020/9/22,2020/9/22 12:47,34.1,B,0
2020/9/22,2020/9/22 12:52,34.1,B,0
2020/9/22,2020/9/22 12:57,34.1,B,0
2020/9/22,2020/9/22 13:02,34.1,B,0
2020/9/22,2020/9/22 13:07,34.1,B,0
2020/9/22,2020/9/22 13:12,34.1,B,0
2020/9/22,2020/9/22 13:17,34.1,B,0
2020/9/22,2020/9/22 13:22,34.1,B,0
2020/9/22,2020/9/22 13:27,34.1,B,0
2020/9/22,2020/9/22 13:32,34.1,B,0
2020/9/22,2020/9/22 13:37,34.1,B,0
2020/9/22,2020/9/22 13:42,34.1,B,0
2020/9/22,2020/9/22 13:47,34.6,B,0
2020/9/22,2020/9/22 13:52,34.6,B,0
2020/9/22,2020/9/22 13:57,34.6,B,0
2020/9/22,2020/9/22 14:02,34.6,B,0
2020/9/22,2020/9/22 14:07,35.1,B,0
2020/9/22,2020/9/22 14:12,35.1,B,0
2020/9/22,2020/9/22 14:17,35.1,B,0
2020/9/22,2020/9/22 14:22,35.1,B,0
2020/9/22,2020/9/22 14:27,35.1,B,0
2020/9/22,2020/9/22 14:32,35.1,B,0
2020/9/22,2020/9/22 14:37,35.1,B,0
2020/9/22,2020/9/22 14:42,35.1,B,0
2020/9/22,2020/9/22 14:47,35.1,B,0
2020/9/22,2020/9/22 14:52,35.1,B,0
2020/9/22,2020/9/22 14:57,35.1,B,0
2020/9/22,2020/9/22 15:02,35.1,B,0
2020/9/22,2020/9/22 15:07,35.1,B,0
2020/9/22,2020/9/22 15:12,35.1,B,0
